CSD refcode,CIF filename
EPOTAF,epotaf_P1
EQERAU,eqerau_P1
EQUNIP,equnip_P1_charged
ERAMER,eramer_P1
EVOHOM,evohom_P1
EXAXAE,exaxae_P1
EXAXAE03,exaxae03_P1
EXOTOB,exotob_P1_H
EXOZIB,exozib_P1_H
FAFGAU,fafgau_P1_H
FAFMAA,fafmaa_P1
FAFMEE,fafmee_P1
FAHFUR,fahfur_P1_charged_H
FAHPOV,fahpov_P1
FAHTUE,fahtue_P1_H
FAHVAM,fahvam_P1_H
FALVOF,falvof_P1_charged_H
FALVOF01,falvof01_P1_charged_H
FALVUL,falvul_P1_H
FALVUL01,falvul01_P1_H
FALVUL02,falvul02_P1_charged_H
FAMSUH,famsuh_P1
FAMTAO,famtao_P1_H
FANCIJ,fancij_P1
FAQYUR,faqyur_P1_H
FASFOX,fasfox_P1_H
FASFUD,fasfud_P1_H
FASGAK,fasgak_P1_H
FAXLEY,faxley_P1_H
FECXAO,fecxao_P1
FECXOC,fecxoc_P1_charged
FENVOL,fenvol_P1_charged_H
FEVPED,fevped_P1
FEVPIH,fevpih_P1
FEWQIJ,fewqij_P1_H
FEWQOP,fewqop_P1_H
FIDLUC,fidluc_P1_charged_H
FIDRIV,fidriv_P1
FIFGEI,fifgei_P1_charged
FIFPOA,fifpoa_P1_H
FILBAG,filbag_P1_charged
FIQCEN,fiqcen_P1_H
FISGOF,fisgof_P1
FITJAU,fitjau_P1_charged_H
FITJEY,fitjey_P1_charged_H
FIYDOH,fiydoh_P1_H
FIZPOV,fizpov_P1
FIZPUB,fizpub_P1
FIZQAI,fizqai_P1
FOFDUC,fofduc_P1_H
FORHAY,forhay_P1
FORTIR,fortir_P1_H
FOTNIN,fotnin_P1_H
FUNGAZ,fungaz_P1
FUTZOK,futzok_P1_H
FUWFIO,fuwfio_P1_H
FUWYAY,fuwyay_P1_H
GAGSUF,gagsuf_P1_H
GAGTOA,gagtoa_P1_H
GALLOW,gallow_P1_H
GAMXAV,gamxav_P1
GATQIE,gatqie_P1
GAXKOH,gaxkoh_P1
GAYXEM,gayxem_P1
GAYXIQ,gayxiq_P1
GEFZAV,gefzav_P1_H
GEGDED,gegded_P1
GEGSIW,gegsiw_P1
GERBEN,gerben_P1_H
GERPUP,gerpup_P1_H
GERWEH,gerweh_P1_H
GERXEJ,gerxej_P1
GEVVUB,gevvub_P1
GINTEF,gintef_P1
GINTIJ,gintij_P1_H
GINTOP,gintop_P1
GINWUY,ginwuy_P1
