CSD refcode,CIF filename
CUTKEI,cutkei_P1_H
CUVHEH,cuvheh_P1_H
CUWWUO,cuwwuo_P1_H
CUWXOJ,cuwxoj_P1_H
CUWYAW,cuwyaw_P1_H
CUWYOK,cuwyok_P1_H
CUWYUQ,cuwyuq_P1_H
CUWZAX,cuwzax_P1_H
DABGIZ,dabgiz_P1_H
DACDEU,dacdeu_P1_H
DACDOE,dacdoe_P1_H
DAFJUS,dafjus_P1_charged_H
DAFZAO,dafzao_P1_H
DAGDIZ,dagdiz_P1_H
DAJHOM,dajhom_P1_H
DALSER,dalser_P1_charged_H
DANROC,danroc_P1_H
DANZAV,danzav_P1_charged_H
DANZEZ,danzez_P1_charged_H
DAQRET01,daqret01_P1_H
DARSEV,darsev_P1_H
DAWWAC,dawwac_P1_H
DAWWEF,dawwef_P1_H
DAZKEX,dazkex_P1_H
DAZMID,dazmid_P1_H
DECVIT,decvit_P1_charged_H
DEGPEL,degpel_P1_charged_H
DEHBIC,dehbic_P1_H
DEWQUS,dewqus_P1_charged_H
DEYDOA,deydoa_P1_H
DIBJEF,dibjef_P1_H
DIBPAH,dibpah_P1_H
DIBQEM,dibqem_P1_H
DIBQOW,dibqow_P1_H
DICVAO,dicvao_P1_H
DICVES,dicves_P1_H
DIFZAW,difzaw_P1_charged_H
DIMBOT,dimbot_P1_H
DISBAL,disbal_P1_H
DITJEY01,ditjey01_P1_H
DITJOH,ditjoh_P1_H
DIVRUY,divruy_P1_charged_H
DIVYOZ,divyoz_P1_charged_H
DIZQOT,dizqot_P1_H
DOGMET,dogmet_P1_charged_H
DOHDOU,dohdou_P1_H
DOJXEH,dojxeh_P1_H
DOJXIL,dojxil_P1_H
DOKDEN,dokden_P1_H
DOKHIV,dokhiv_P1_charged_H
DOKHOB,dokhob_P1_H
DONKIC,donkic_P1_H
DONKOI,donkoi_P1_H
DONKUO,donkuo_P1_charged_H
DONNAW01,donnaw01_P1_H
DONNEA,donnea_P1_H
DOPHOH,dophoh_P1_H
DOPHUN,dophun_P1_H
DOPJAV,dopjav_P1_H
DOYLAE,doylae_P1_H
DUDHAO,dudhao_P1_charged_H
DUDHES,dudhes_P1_charged_H
DUDVUV,dudvuv_P1_charged_H
DUFKAS,dufkas_P1_charged_H
DUFZOU,dufzou_P1_H
DUFZUA,dufzua_P1_H
DUGBAJ,dugbaj_P1_H
DUGGOD,duggod_P1_H
DUJQUW01,dujquw01_P1_charged_H
DUNJON,dunjon_P1_H
DUVNOA,duvnoa_P1_H
DUYBIL,duybil_P1_charged_H
DUYREV,duyrev_P1_H
DUYROF,duyrof_P1_H
EBAMOL,ebamol_P1_H
EBEXAM,ebexam_P1_H
EBIHEE,ebihee_P1_H
EBIMOT,ebimot_P1_charged_H
EBIZUN,ebizun_P1_H
EBUQIB,ebuqib_P1_H
EBUQOH,ebuqoh_P1_H
EBUREA,eburea_P1_H
EBUVAA,ebuvaa_P1_H
ECEFIC,ecefic_P1_charged_H
ECEZAO,ecezao_P1_H
ECEZAO01,ecezao01_P1_H
ECODIK,ecodik_P1_H
ECORIX,ecorix_P1_H
ECUDAI,ecudai_P1_H
ECUDEM,ecudem_P1_H
EDADAP,edadap_P1_charged_H
EDOVIE,edovie_P1_charged_H
EFEGOM,efegom_P1_H
EFESEP,efesep_P1_H
EFESOZ,efesoz_P1_H
EFIRIX,efirix_P1_H
EGELUY,egeluy_P1_H
EJAXIW,ejaxiw_P1_H
EJIQIZ,ejiqiz_P1_charged_H
EJORAY,ejoray_P1_H
EKEQIV,ekeqiv_P1_H
ELIJOZ,elijoz_P1_H
ELIJUF,elijuf_P1_H
ELIKAM,elikam_P1_H
ELIKEQ,elikeq_P1_H
ELIKIU,elikiu_P1_H
ELIKOA,elikoa_P1_H
ELIKUG,elikug_P1_H
ELILAN,elilan_P1_H
ELILER,eliler_P1_H
ELILIV,eliliv_P1_H
ELOFIU,elofiu_P1_charged_H
EMEYUQ01,emeyuq01_P1_H
ENESOH,enesoh_P1_charged_H
ENESUN,enesun_P1_charged_H
ENISOK,enisok_P1_H
EQEREY,eqerey_P1_H
EQERIC,eqeric_P1_H
EQUBOI,equboi_P1_H
EQUBUO,equbuo_P1_H
ERAJAK01,erajak01_P1_H
EREGOY,eregoy_P1_H
ERUFOM,erufom_P1_H
ESECOW,esecow_P1_charged_H
ESEQUO,esequo_P1_H
EWEWUZ,ewewuz_P1_charged_H
EXAYOS,exayos_P1_H
EXAZAF,exazaf_P1_H
EXEQII,exeqii_P1_H
EXOTOB,exotob_P1_H
EXOZIB,exozib_P1_H
EYUWAW,eyuwaw_P1_H
EZAWIL,ezawil_P1_charged_H
EZUCOS,ezucos_P1_H
FAFGAU,fafgau_P1_H
FAGFUQ,fagfuq_P1_H
FAHFUR,fahfur_P1_charged_H
FAHTUE,fahtue_P1_H
FAHVAM,fahvam_P1_H
FAKGOP,fakgop_P1_H
FALQIU,falqiu_P1_H
FALVOF,falvof_P1_charged_H
FALVOF01,falvof01_P1_charged_H
FALVUL,falvul_P1_H
FALVUL01,falvul01_P1_H
FALVUL02,falvul02_P1_charged_H
FAMTAO,famtao_P1_H
FAQSOG,faqsog_P1_H
FAQYUR,faqyur_P1_H
FASFOX,fasfox_P1_H
FASFUD,fasfud_P1_H
FASGAK,fasgak_P1_H
FATKAO,fatkao_P1_H
FATKIW,fatkiw_P1_H
FATKOC,fatkoc_P1_H
FAVFIU,favfiu_P1_charged_H
FAVKAP,favkap_P1_charged_H
FAXLEY,faxley_P1_H
FAZFET,fazfet_P1_H
FECXUI,fecxui_P1_H
