CSD refcode,CIF filename
COKPOJ,cokpoj_P1_charged
COKPUP,cokpup_P1_charged
COKQAW,cokqaw_P1_charged
COKQEA,cokqea_P1_charged
COKQIE,cokqie_P1_charged
COKQOK,cokqok_P1_charged
CONWOU,conwou_P1_charged
CONWUA,conwua_P1_charged
COPBOB,copbob_P1_charged_H
COQHUN,coqhun_P1_charged
COQKEB,coqkeb_P1_charged
COTYIV,cotyiv_P1_charged
COWSAL,cowsal_P1_charged
COXFOL,coxfol_P1_charged_H
CUBQIB,cubqib_P1_charged_H
CUCFOX,cucfox_P1_charged
CUDPOI,cudpoi_P1_charged
CUDPUO,cudpuo_P1_charged
CUDQAV,cudqav_P1_charged
CUDQEZ,cudqez_P1_charged
CUFDOX,cufdox_P1_charged
CUFFEP,cuffep_P1_charged
CUFFIT,cuffit_P1_charged
CUFFOZ,cuffoz_P1_charged
CUFFUF,cuffuf_P1_charged
CUKXEN,cukxen_P1_charged
CUMDIY,cumdiy_P1_charged
CUQSAK,cuqsak_P1_charged_H
CURYIA,curyia_P1_charged
CUSDIE,cusdie_P1_charged_H
CUSHEG,cusheg_P1_charged_H
CUSHIK,cushik_P1_charged_H
CUSHUW,cushuw_P1_charged_H
CUSJAE,cusjae_P1_charged_H
CUSJOS,cusjos_P1_charged_H
CUSKOT,cuskot_P1_charged_H
CUSLAG,cuslag_P1_charged_H
CUTFON,cutfon_P1_charged
CUTFUT,cutfut_P1_charged
CUTGAA,cutgaa_P1_charged
CUWNOZ,cuwnoz_P1_charged
CUYBIK,cuybik_P1_charged
DABFET,dabfet_P1_charged
DABFIX,dabfix_P1_charged
DACDIY,dacdiy_P1_charged
DACYUE,dacyue_P1_charged
DADTOS,dadtos_P1_charged
DADTOS01,dadtos01_P1_charged
DADTOS02,dadtos02_P1_charged
DADTOS04,dadtos04_P1_charged
DADTOS05,dadtos05_P1_charged
DADTOS06,dadtos06_P1_charged
DADTOS08,dadtos08_P1_charged
DADTOS12,dadtos12_P1_charged
DADTOS13,dadtos13_P1_charged
DADTOS14,dadtos14_P1_charged
DADTOS15,dadtos15_P1_charged
DADTOS16,dadtos16_P1_charged
DADTOS17,dadtos17_P1_charged
DADTUY,dadtuy_P1_charged
DADVAG,dadvag_P1_charged
DADVAG01,dadvag01_P1_charged
DADVAG02,dadvag02_P1_charged
DADVAG04,dadvag04_P1_charged
DADVAG05,dadvag05_P1_charged
DADVAG06,dadvag06_P1_charged
DADVAG08,dadvag08_P1_charged
DAFJUS,dafjus_P1_charged_H
DAHCAS,dahcas_P1_charged
DAJWET,dajwet_P1_charged
DALCEZ,dalcez_P1_charged
DALSAN,dalsan_P1_charged
DALSER,dalser_P1_charged_H
DANZAV,danzav_P1_charged_H
DANZEZ,danzez_P1_charged_H
DANZID,danzid_P1_charged
DAPYAW,dapyaw_P1_charged
DARCOQ,darcoq_P1_charged
DARCUW,darcuw_P1_charged
DARDAD,dardad_P1_charged
DARDEH,dardeh_P1_charged
DARDIL,dardil_P1_charged
DARDOR,dardor_P1_charged
DARDUX,dardux_P1_charged
DARFAF,darfaf_P1_charged
DARFEJ,darfej_P1_charged
DARFIN,darfin_P1_charged
DARFOT,darfot_P1_charged
DASTEY01,dastey01_P1_charged
DASTEY02,dastey02_P1_charged
DAXFEQ,daxfeq_P1_charged
DAXKOE,daxkoe_P1_charged
DAXNIA,daxnia_P1_charged
DAXNIA01,daxnia01_P1_charged
DAXNIA02,daxnia02_P1_charged
DAXNIA03,daxnia03_P1_charged
DAXNIA04,daxnia04_P1_charged
DECVIT,decvit_P1_charged_H
DEGPEL,degpel_P1_charged_H
DEHFUR,dehfur_P1_charged
DEQMOE,deqmoe_P1_charged
DERBIO,derbio_P1_charged
DEWQUS,dewqus_P1_charged_H
DEYMOL,deymol_P1_charged
DEZCER,dezcer_P1_charged
DIBJIJ,dibjij_P1_charged
DIFZAW,difzaw_P1_charged_H
DIHPIU,dihpiu_P1_charged
DIRPIF,dirpif_P1_charged
DIVPUU,divpuu_P1_charged
DIVRUY,divruy_P1_charged_H
DIVYOZ,divyoz_P1_charged_H
DIXVUC01,dixvuc01_P1_charged
DIXVUC04,dixvuc04_P1_charged
DIZQEL,dizqel_P1_charged
DOGMET,dogmet_P1_charged_H
DOJPOK,dojpok_P1_charged
DOJPOK01,dojpok01_P1_charged
DOKHIV,dokhiv_P1_charged_H
DONKUO,donkuo_P1_charged_H
DONXUC,donxuc_P1_charged
DOQKAW,doqkaw_P1_charged
DOQRUY,doqruy_P1_charged
DOQSAF,doqsaf_P1_charged
DORFAS,dorfas_P1_charged
DOTFID,dotfid_P1_charged
DOTFOK,dotfok_P1_charged
DOYHOQ,doyhoq_P1_charged
DOYHUW,doyhuw_P1_charged
DOZCEC,dozcec_P1_charged
DUDHAO,dudhao_P1_charged_H
DUDHES,dudhes_P1_charged_H
DUDVUV,dudvuv_P1_charged_H
DUFKAS,dufkas_P1_charged_H
DUJQUW01,dujquw01_P1_charged_H
DULCAQ,dulcaq_P1_charged
DUMGOI,dumgoi_P1_charged
DUPJAB,dupjab_P1_charged
DUPKIK,dupkik_P1_charged
DUQKIM,duqkim_P1_charged
DUQSAK,duqsak_P1_charged
DUQYEU,duqyeu_P1_charged
DUQYEU01,duqyeu01_P1_charged
DUYBIL,duybil_P1_charged_H
DUYJIS,duyjis_P1_charged
DUZKAM,duzkam_P1_charged
EBEVAK,ebevak_P1_charged
EBIBEY,ebibey_P1_charged
EBIDOK,ebidok_P1_charged
EBIMIN,ebimin_P1_charged
EBIMOT,ebimot_P1_charged_H
ECEFIC,ecefic_P1_charged_H
EDADAP,edadap_P1_charged_H
EDATOT,edatot_P1_charged
EDIKEH,edikeh_P1_charged
EDOVEA,edovea_P1_charged
EDOVIE,edovie_P1_charged_H
EGAXAO,egaxao_P1_charged
EGOZAB,egozab_P1_charged
EHABUN,ehabun_P1_charged
EHAFOL,ehafol_P1_charged
EHAFUR,ehafur_P1_charged
EHAGEA,ehagea_P1_charged
EJIQIZ,ejiqiz_P1_charged_H
ELOFIU,elofiu_P1_charged_H
ELOZOW,elozow_P1_charged
EMAFAA,emafaa_P1_charged
