Bio-MOF-14
MIL-101(Cr)
MIL-101-SO3H (Cr)
MIL-96(Al)
N/A
PCN-222(Fe)
PCN-224(M)
ZIF-8
Al-PMOF
JUC-110
MIL-100(Cr)
MONT1
N/A
N/A
N/A
LaBTB
N/A
N/A
N/A
N/A
N/A
N/A
NOTT-300
PCMOF-5
SNU-80
CALF
CAU-10
DUT-51(Hf)
DUT-51(Zr)
DUT-67(Zr)
FMOF-1
MIL-100(Al)
MIL-100(Fe)
MIL-101-NH2(Cr)
MIL-125-NH2(Ti)
MIL-127
MIL-53(Al)
MIL-53(Cr)
MOF-525
MOF-545
MOF-801-P
MOF-801-SC
MOF-802
MOF-804
MOF-841
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
Ni-NIC
NU-1000
PCN-225(M)
SCUTC-18
UiO-66
UiO-66-MM
UiO-66-NH2
Zn-DMOF-A
Zn-DMOF-TM
Zn-MOF-508
ZnPO3
CAU-10-CH3
CAU-10-H
CAU-10-NH2
CAU-10-NO2
CAU-10–OCH3
CAU-10-OH
CdZrSr
Co-NIC
Cu-PCN
Eu-Cu
La-Cu
MIL-53-F(Al)
N/A
Ni-HF
UiO-66-Br
UiO-67
UTSA-16
ZIF-7
ZIF-90
Zn-TTC
Zn/Co-BTEC
Zr-DMBDC
AlaZnCl
AlaZnOAc
Bio-MOF-13
CUK-1
DUT-67(Hf)
DUT-68(Hf)
DUT-68(Zr)
DUT-69(Zr)
MIL-140 A
MIL-140 B
MIL-140 C
MIL-140 D
MOFF-2
MOOFOUR-1-Ni
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
NU-1000-SALI-1
NU-1000-SALI-3
NU-1000-SALI-7
NU-1000-SALI-9
PCN-56
PCN-57
PCN-58
SIFSIX-2-Cu-i
Tb-FTZB-MOF
"UiO-1,4-NDC"
"UiO-2,6-NDC"
UiO-66-(CO2H)2
UiO-66-(OMe)2
UiO-66-Br2
UiO-66-CF3
UiO-66-Cl2
UiO-66-CO2H
UiO-66-DM
UiO-66-I
UiO-66-NO2
UiO-66-SO3H
UMCM-150
ValZnCl
ValZnFor
Y-FTZB-MOF
ZIF-11
Zn-DMOF(NO2)2
Zn(NDI-H)
Zr-fum
CAU-6
Co-MOF-74/Co-CPO-27/Co-DOBDC
Cu-BTC/HKUST-1
Mg-MOF-74/Mg-CPO-27/Mg-DOBDC
MIL-101-NO2(Cr)
MIL-47-F(V)
MIL-69(Al)/DUT-4
MOF-14
MOF-805
MOF-806
MOF-808
N/A
Ni-DMOF
Ni-MOF-74/Ni-CPO-27/Ni-DOBDC
SCUTC-19
Zn-DMOF
Zn-DMOF-N
Zn-DMOF-TM0.5
Zn-MOF-74/Zn-CPO-27/Zn-DOBDC
Zn-NDC
Co-DMOF
Cu-DMOF
IRMOF-1-CF3O/MOF-5-CF3O/Banasorb-22
Cu-EBTC
Cu-HF
Cu-MBTC
IRMOF-1-(CH3)2/MOF-5-(CH3)2
IRMOF-1-CH3/MOF-5-CH3
IRMOF-3-AM15
IRMOF-3/MOF-5-NH2
MIL-110 (Al)
MIL-125 (Ti)
MOFF-1
MOFF-3
N/A
N/A
N/A
SIFSIX-3-Zn
UiO-66-F2
UiO-66-F
Zr6O6(ABDC-Cl2)12
Zr6O6(ABDC)12
IRMOF-1/MOF-5
MOF-177
MOF-508
MOF-69C
Zn-DMOF-NO2
UiO-BPY
UMCM-1
Zn-DMOF-Br
Zn-DMOF-Cl2
Zn-DMOF-DM
Zn-DMOF-DM0.5
Zn-DMOF-MM
Zn-DMOF-MM0.5
Zn-DMOF-NH2
Zn-DMOF-OH
Zn-DMOF-TF
Zn-MOF-508-TM
Bio-MOF-11
Bio-MOF-12
MIL-47(V)
MOF-505
N/A
